0,1,2
血常规,检查项目,婚检的检查项目有：<entity>尿常规梅毒筛查乙肝表面抗原转氨酶G6PD缺乏症筛查淋病筛查（男）阴道分泌物涂片（女）艾滋病检查胸部透视生殖器及第二性征检查和全身各部位各器官精神状态智力水平的观察.婚检其实一个大家很明白就是一个就可以防止下一代出生缺陷因为婚检的时候可以发现一些比如遗传病如果当时发现的话医生会给你作出正确的指导；再一个就是为了你婚后生活幸福比如说有些像先天性心脏病这样的病人在婚检的时候医生会指导你如何生育做好计划生育这样.曾经治疗情况和效果：婚检的检查项目有：<entity>尿常规梅毒筛查乙肝表面抗原转氨酶G6PD缺乏症筛查淋病筛查（男）阴道分泌物涂片（女）艾滋病检查胸部透视生殖器及第二性征检查和全身各部位各器官精神状态智力水平的观察.婚检其实一个大家很明白就是一个就可以防止下一代出生缺陷因为婚检的时候可以发现一些比如遗传病如果当时发现的话医生会给你作出正确的指导；再一个就是为了你婚后生活幸福比如说有些像先天性心脏病这样的病人在婚检的时候医生会指导你如何生育做好计划生育这样.想得到怎样的帮助：婚检的检查项目有：<entity>尿常规梅毒筛查乙肝表面抗原转氨酶G6PD缺乏症筛查淋病筛查（男）阴道分泌物涂片（女）艾滋病检查胸部透视生殖器及第二性征检查和全身各部位各器官精神状态智力水平的观察.婚检其实一个大家很明白就是一个就可以防止下一代出生缺陷因为婚检的时候可以发现一些比如遗传病如果当时发现的话医生会给你作出正确的指导；再一个就是为了你婚后生活幸福比如说有些像先天性心脏病这样的病人在婚检的时候医生会指导你如何生育做好计划生育这样.（）
血常规,肝炎,病情描述发病时间、主要症状、症状变化等）：下腹部反复疼痛两年余月经中期开始经期加重双附件增厚压痛试孕两年未孕。平时常有尿频、腹泻、便密、腰酸背痛现象。2012年10月做腹腔镜手术后暂时不痛三个月第四个月开始月经中期开始痛疼及腰酸背痛。曾经治疗情况和效果：2012年10月在昆华医院生殖二科门诊处检查：1.遗传代谢筛查结果正常；2.抗TORCH抗体定量检测单纯疱疹病毒I/II型抗体IgM、风疹病毒抗体IgG、巨细胞病毒抗体IgG、单纯疱疹病毒I/II型抗体IgG阳性其余为阴性；3.CDFI及CDE超声显示：甲状腺双侧轻度肿大并左侧叶实性结节考虑结甲肿可能）；4.甲功检查T4、FT4、T3、FT3、TSH、Anti-Tg、Anti-TPO正常；5.乙型肝炎病毒DNA定量检测〈5.0E+2；6.免疫：HBsAg(+)211.22HBsAb(-)2.45HBeAg(-)o.o1HBeAb(-)0.71HBcAb(+)25.21;HCV、HIVAb、TPAb、TRUST阴性；雌二醇卵泡期80血清促黄体生成素5.63血清促卵泡刺激素4.19血清泌乳素14.67孕酮0.30睾酮0.59；7.自免：结核抗体：阴性；8.<entity>正常；9.心电图：窦性心律、ST－T改变；10.宫腔镜：子宫小肌瘤、子宫内膜息肉；10月11日在全麻腹腔镜下行子宫肌瘤剥除术+盆腔内膜异位灶电凝电灼术+双侧卵巢打孔术+双侧输卵管高压洗注术+诊刮术。术中见：子宫前壁左侧小肌核约1CM膀胱后壁左骶韧带散在异位结节双侧卵巢多囊样变术中输卵管高压洗注双侧输卵管通畅术后予抗炎补液支持治疗。于16日出院医嘱：下次月经开始第10天门诊复查B超监测排卵指导同房试怀孕。现服药：白柏胶囊一盒欧卜特欣二盒丹莪妇康煎膏三瓶；外用药康妇消炎栓二盒、巢宫宝二盒；补佳乐四盒、春花人胎盘片十盒；想得到怎样的帮助：这种症状必须做试管吗？成功率如何？
血常规,肝炎,下腹部反复疼痛两年余，月经中期开始，经期加重，双附件增厚，压痛，试孕两年未孕。平时常有尿频、腹泻、便密、腰酸背痛现象。2012年10月做腹腔镜手术后暂时不痛三个月，第四个月开始月经中期开始痛疼及腰酸背痛。曾经治疗情况和效果：2012年10月在昆华医院生殖二科门诊处检查：1.遗传代谢筛查，结果正常；2.抗TORCH抗体定量检测，单纯疱疹病毒I/II型抗体IgM、风疹病毒抗体IgG、巨细胞病毒抗体IgG、单纯疱疹病毒I/II型抗体IgG阳性，其余为阴性；3.CDFI及CDE超声显示：甲状腺双侧轻度肿大并左侧叶实性结节（考虑结甲肿可能）；4.甲功检查，T4、FT4、T3、FT3、TSH、Anti-Tg、Anti-TPO正常；5.乙型肝炎病毒DNA定量检测〈5.0E+2；6.免疫：HBsAg(+)211.22，HBsAb(-)2.45，HBeAg(-)o.o1，HBeAb(-)0.71，HBcAb(+)25.21;HCV、HIVAb、TPAb、TRUST阴性；雌二醇卵泡期80，血清促黄体生成素5.63，血清促卵泡刺激素4.19，血清泌乳素14.67，孕酮0.30，睾酮0.59；7.自免：结核抗体：阴性；8.<entity>正常；9.心电图：窦性心律、ST－T改变；10.宫腔镜：子宫小肌瘤、子宫内膜息肉；10月11日在全麻腹腔镜下行子宫肌瘤剥除术+盆腔内膜异位灶电凝电灼术+双侧卵巢打孔术+双侧输卵管高压洗注术+诊刮术。术中见：子宫前壁左侧小肌核约1CM，膀胱后壁左骶韧带散在异位结节，双侧卵巢多囊样变，术中输卵管高压洗注，双侧输卵管通畅，术后予抗炎补液支持治疗。于16日出院，医嘱：下次月经开始第10天门诊复查B超监测排卵指导同房试怀孕。现服药：白柏胶囊一盒，欧卜特欣二盒，丹莪妇康煎膏三瓶；外用药康妇消炎栓二盒、巢宫宝二盒；补佳乐四盒、春花人胎盘片十盒；想得到怎样的帮助：这种症状必须做试管吗？成功率如何？（
肌红蛋白,心肌梗死,心肌梗死<entity>
肌钙蛋白,心肌梗死,如何妙用<entity>诊断急性心肌梗死？
肌钙蛋白,心肌梗死,心肌梗死，血清<entity>T问题
肌钙蛋白,心肌梗死,三年前查出冠心病和心肌梗死当时住院一周医生同意？三年前查出冠心病和心肌梗死当时住院一周医生同意出院，前天夜间出现胸闷约1小时，昨天检查陈旧性心梗表现，心功率差，另外查出<entity>1高0.09，今天又升高啦！请问最好的治疗方法是什么？。
肌钙蛋白,心肌梗死,男：27岁，眼皮发沉，每天都会有胸闷气短窒息感，晚上睡觉时，在半睡半醒状态下感觉身体发紧，突然很惊恐醒，心跳加快。稍微活动下心跳就很快气短感。发作很强烈时有特别特别强烈得濒死感，一般都几秒就好，但最常时候有将近一个小时，但发作强烈时自数脉搏不是很特别快。这感觉已经半年来，去年也就是一年中只有几次，都是几秒曾经治疗情况和效果：半年前在发作时在县医院做来心电图，报告自动提示说异常心电图，血生化一项超标100，上限为195.过来三天在此去市医院做心电图说正常心电图。做完再去解放军医院检查，血常规，血生化，尿检，正常。<entity>I正常，柯萨奇病毒正常，心脏彩超提示三尖瓣少量反流，报告医生说没事，全腹彩超正常，颅脑CT正常。24小时心电图显示窦性心率，大致正常心电图。尿检微量什么东东东正常想得到怎样的帮助：请问医生，问这事心肌梗死吗？还是心肌炎？还是心脏病？还是焦虑症？还是我没查出都病？还是我要去在做什么检查
尿常规,小便短赤,22号出现尿急 小便短赤，23-25服用些三金片 无多大效果，26经检查<entity>和肾、输尿管膀胱等彩
尿常规,右下腹痛,我腰酸，白天还好，晚上严重，现在腰中间酸痛发麻，尿液查出尿白细胞3个加。是不是也是肾有毛病202010右下腹痛，看到是中医内科，查<entity>尿路感染，吃了药，不疼就没去。2011看的内科，查了<entity>也是3个加。B超肝胆肾脾查没发现异常。。10右腹部有点痛，去看的中医内科，查出是尿路感染。吃了药。检查好了。查的是<entity>。曾经治疗情况和效果：吃了药，查<entity>好了。20125月30彻底查了妇科。医生说问题不大。晚间腰酸发麻，严重影响睡眠，叫我看内科。想得到怎样的帮助：看内科需要查哪些项目？
